sep=,
DeviceTag:,xyz
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-07-03_12:11:58_000 PDT
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3053599594,-58.37679290771484,-76.43140411376953,142.43444824218750,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3053607927,-58.34595489501953,-76.43479156494141,142.41627502441406,9.48592281341553,-1.94498455524445,1.22246205806732,1.57859253883362,0.22293350100517,-0.61479288339615
2,3053616260,-58.31541061401367,-76.43805694580078,142.39822387695312,9.49885749816895,-1.92368054389954,1.24151825904846,1.56056022644043,0.22787705063820,-0.60003912448883
3,3053624593,-58.20700836181641,-76.44522094726562,142.33142089843750,9.50801658630371,-1.93465054035187,1.24153995513916,1.37203919887543,0.25244107842445,-0.55416393280029
4,3053632926,-58.17686843872070,-76.44834136962891,142.31268310546875,9.50447559356689,-1.93736183643341,1.20383059978485,1.42777597904205,0.25077620148659,-0.59350746870041
5,3053641259,-57.93388366699219,-76.44980621337891,142.11471557617188,9.51556968688965,-1.92708313465118,1.23020315170288,1.42777597904205,0.28678980469704,-0.67221999168396
6,3053649592,-57.90201568603516,-76.45344543457031,142.09411621093750,9.53036212921143,-1.93498706817627,1.26214778423309,1.42449712753296,0.26053518056870,-0.67547291517258
7,3053657925,-57.75707244873047,-76.46381378173828,141.96061706542969,9.52683544158936,-1.91554570198059,1.23174107074738,1.37203919887543,0.28187182545662,-0.62959796190262
8,3053666258,-57.72410202026367,-76.46629333496094,141.93762207031250,9.53795814514160,-1.93453609943390,1.23989486694336,1.27032518386841,0.38845267891884,-0.59696537256241
9,3053674591,-57.57666397094727,-76.47255706787109,141.78431701660156,9.51243686676025,-1.93902802467346,1.23164045810699,1.32449924945831,0.21314884722233,-0.51968717575073
10,3053682924,-57.54688644409180,-76.47508239746094,141.76512145996094,9.52350234985352,-1.91789138317108,1.24141120910645,1.33103096485138,0.29178452491760,-0.54271441698074
11,3053691257,-57.44902801513672,-76.47623443603516,141.66102600097656,9.51446151733398,-1.94433581829071,1.25874304771423,1.35065138339996,0.33955508470535,-0.41164636611938
12,3053699590,-57.41577911376953,-76.47664642333984,141.63768005371094,9.50354576110840,-1.93993639945984,1.23576784133911,1.26527905464172,0.52474600076675,-0.39717432856560
13,3053707923,-57.32422256469727,-76.47525787353516,141.53857421875000,9.50171470642090,-1.93183267116547,1.24048888683319,1.18175113201141,0.48340460658073,-0.57911223173141
14,3053716256,-57.28749084472656,-76.47650909423828,141.51126098632812,9.50363159179688,-1.92543089389801,1.21034681797028,1.22101771831512,0.56385898590088,-0.53825747966766
15,3053724589,-57.22135162353516,-76.47374725341797,141.43635559082031,9.50917530059814,-1.92810606956482,1.21514642238617,0.94399982690811,0.56193786859512,-0.57442480325699
16,3053732922,-57.18625640869141,-76.47506713867188,141.40844726562500,9.51840972900391,-1.93806278705597,1.23088979721069,0.95708870887756,0.57343870401382,-0.55639237165451
17,3053741255,-57.15036392211914,-76.47506713867188,141.37037658691406,9.51113510131836,-1.92800593376160,1.22274994850159,0.86200875043869,0.53745073080063,-0.47606617212296
18,3053749588,-57.11881637573242,-76.47719573974609,141.34504699707031,9.50748729705811,-1.93078124523163,1.24571764469147,0.82771116495132,0.45850762724876,-0.59886074066162
19,3053757921,-57.09568786621094,-76.47918701171875,141.32481384277344,9.49660873413086,-1.90990173816681,1.18973219394684,0.72615069150925,0.39280709624290,-0.62009501457214
20,3053766254,-57.06885910034180,-76.48056030273438,141.30294799804688,9.51136398315430,-1.92705452442169,1.22719180583954,0.67031168937683,0.42584943771362,-0.47265949845314
21,3053774587,-57.05869674682617,-76.48327636718750,141.27189636230469,9.50587749481201,-1.92796349525452,1.26824247837067,0.62945711612701,0.29301404953003,-0.47568196058273
22,3053782920,-57.03247451782227,-76.48351287841797,141.25105285644531,9.50231552124023,-1.93091714382172,1.25418663024902,0.71280574798584,0.47536173462868,-0.33831283450127
23,3053791253,-57.01941680908203,-76.48319244384766,141.21426391601562,9.50423240661621,-1.95603072643280,1.23685526847839,0.60297191143036,0.41147986054420,-0.25793534517288
24,3053799586,-57.00223159790039,-76.48197174072266,141.20216369628906,9.51336669921875,-1.92637503147125,1.21184182167053,0.65207445621490,0.36278724670410,-0.06434296071529
25,3053807919,-56.99263763427734,-76.47859954833984,141.18705749511719,9.50053501129150,-1.95539414882660,1.23461639881134,0.59131741523743,0.44798022508621,-0.07277003675699
26,3053816252,-56.97608566284180,-76.47687530517578,141.17446899414062,9.50235843658447,-1.96262586116791,1.20797216892242,0.51590913534164,0.41030162572861,-0.01700785197318
27,3053824585,-56.97459793090820,-76.47378540039062,141.15782165527344,9.49855422973633,-1.95682430267334,1.25077450275421,0.43729898333549,0.39042493700981,-0.07113072276115
28,3053832918,-56.95801544189453,-76.47380828857422,141.14477539062500,9.49672222137451,-1.95138204097748,1.20562636852264,0.46862524747849,0.30323415994644,-0.20365878939629
29,3053841251,-56.96006393432617,-76.47013092041016,141.13565063476562,9.50773811340332,-1.94736897945404,1.19885241985321,0.35699838399887,0.40330889821053,-0.12860907614231
30,3053849584,-56.94384002685547,-76.47015380859375,141.11999511718750,9.48755073547363,-1.93806970119476,1.18661344051361,0.12273060530424,0.36340194940567,-0.24674192070961
31,3053857917,-56.95418548583984,-76.46767425537109,141.10533142089844,9.51864528656006,-1.93571662902832,1.20734262466431,-0.00189545343164,0.36662936210632,-0.20750090479851
32,3053866250,-56.94075775146484,-76.46827697753906,141.08924865722656,9.52780818939209,-1.94452178478241,1.21523940563202,-0.25913918018341,0.33822318911552,-0.30601325631142
33,3053874583,-56.95503616333008,-76.46762084960938,141.08621215820312,9.52421760559082,-1.96611642837524,1.21938836574554,-0.36077645421028,0.35607624053955,-0.33895313739777
34,3053882916,-56.93861770629883,-76.46881866455078,141.06526184082031,9.51695728302002,-1.96400618553162,1.19778645038605,-0.47222402691841,0.41470730304718,-0.44082102179527
35,3053891249,-56.95597457885742,-76.46887207031250,141.07109069824219,9.50961971282959,-1.93964374065399,1.20724999904633,-0.50490778684616,0.28363922238350,-0.38972055912018
36,3053899582,-56.94304656982422,-76.46962738037109,141.05313110351562,9.49148654937744,-1.95772600173950,1.17092752456665,-0.54601854085922,0.37550467252731,-0.34901952743530
