sep=,
DeviceTag:,285
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-07-03_12:11:58_000 PDT
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3473228878,-79.22344207763672,78.40432739257812,-46.52169799804688,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3473237211,-79.27751922607422,78.40072631835938,-46.52613830566406,-9.49571895599365,-1.93551838397980,0.33594867587090,-5.97206115722656,0.02286070585251,-0.45078492164612
2,3473245544,-79.32657623291016,78.39669799804688,-46.52474212646484,-9.51023197174072,-1.93102276325226,0.33608016371727,-6.04905843734741,-0.12297395616770,-0.46912476420403
3,3473253877,-79.48555755615234,78.38677215576172,-46.64115142822266,-9.50829219818115,-1.91539764404297,0.33645787835121,-6.18186759948730,-0.09213440865278,-0.35754913091660
4,3473262210,-79.53607177734375,78.38343048095703,-46.64046096801758,-9.53930854797363,-1.91636526584625,0.35683822631836,-6.14582967758179,-0.09039264917374,-0.39033538103104
5,3473270543,-79.73886871337891,78.38008880615234,-46.82271575927734,-9.53003311157227,-1.93367505073547,0.35693255066872,-6.10648536682129,-0.06272926926613,-0.32468608021736
6,3473278876,-79.79632568359375,78.37683105468750,-46.82899475097656,-9.51712894439697,-1.91617691516876,0.35535967350006,-6.15735483169556,0.07854605466127,-0.41103160381317
7,3473287209,-79.88730621337891,78.37505340576172,-46.90210342407227,-9.54449272155762,-1.90260636806488,0.37201920151711,-6.23437643051147,0.02291193231940,-0.44076976180077
8,3473295542,-79.94302368164062,78.37108612060547,-46.90607452392578,-9.52970695495605,-1.91785585880280,0.33168512582779,-6.21800899505615,0.01000235881656,-0.48508238792419
9,3473303875,-79.95786285400391,78.37607574462891,-46.90633773803711,-9.52222633361816,-1.93572449684143,0.36458477377892,-6.26721525192261,-0.03542449325323,-0.58041864633560
10,3473312208,-80.01806640625000,78.37170410156250,-46.91503143310547,-9.51471328735352,-1.96232199668884,0.34965842962265,-6.20335817337036,0.11525123566389,-0.55006563663483
11,3473320541,-80.04496765136719,78.37302398681641,-46.93079757690430,-9.51456832885742,-1.96689069271088,0.33856379985809,-6.15579319000244,0.03758889436722,-0.44233226776123
12,3473328874,-80.09992980957031,78.36900329589844,-46.93566894531250,-9.48331069946289,-1.97531056404114,0.35507512092590,-6.02464723587036,0.03308078646660,-0.49645513296127
13,3473337207,-80.13981628417969,78.35818481445312,-46.96107482910156,-9.48135757446289,-1.95757412910461,0.32417625188828,-6.08202409744263,-0.01859593763947,-0.37553033232689
14,3473345540,-80.19504547119141,78.35512542724609,-46.96761322021484,-9.49959754943848,-1.94439268112183,0.36849039793015,-5.85915374755859,0.09306932240725,-0.38452088832855
15,3473353873,-80.24947357177734,78.33860015869141,-47.02960205078125,-9.49399089813232,-1.93964648246765,0.35944092273712,-5.84609079360962,0.12777662277222,-0.42527318000793
16,3473362206,-80.30129241943359,78.33485412597656,-47.03495788574219,-9.51582241058350,-1.95314061641693,0.33910346031189,-5.58866739273071,0.05285497754812,-0.46356645226479
17,3473370539,-80.32844543457031,78.31964874267578,-47.03659820556641,-9.53585338592529,-1.93807530403137,0.36157956719398,-5.67555093765259,0.00275353016332,-0.55580329895020
18,3473378872,-80.37673950195312,78.31427764892578,-47.03860092163086,-9.50275421142578,-1.90991878509521,0.36238312721252,-5.56074810028076,-0.06027029082179,-0.64491522312164
19,3473387205,-80.39860534667969,78.30063629150391,-47.06774902343750,-9.51907730102539,-1.89695799350739,0.38876679539680,-5.44604682922363,-0.04987091198564,-0.69888436794281
20,3473395538,-80.44441986083984,78.29388427734375,-47.06835174560547,-9.50418186187744,-1.92892360687256,0.36296561360359,-5.42960357666016,-0.11928550899029,-0.80287826061249
21,3473403871,-80.45095062255859,78.28414154052734,-47.07183456420898,-9.52405166625977,-1.94336760044098,0.36861947178841,-5.49363899230957,-0.03811398521066,-0.89549928903580
22,3473412204,-80.50257110595703,78.27536010742188,-47.07820129394531,-9.49991512298584,-1.97269535064697,0.37933582067490,-5.44937753677368,-0.01995348930359,-1.05922555923462
23,3473420537,-80.51599121093750,78.26445007324219,-47.08523178100586,-9.49778747558594,-1.97042191028595,0.35762903094292,-5.42337846755981,0.16494286060333,-1.17689716815948
24,3473428870,-80.57476043701172,78.25701141357422,-47.09940719604492,-9.50297451019287,-1.97538578510284,0.41434571146965,-5.38570022583008,0.19511643052101,-0.94047778844833
25,3473437203,-80.58274841308594,78.24538421630859,-47.10007858276367,-9.50082969665527,-1.98649680614471,0.42335316538811,-5.25939655303955,0.08461661636829,-1.01227450370789
